"","Name","Country","Latitude","Longitude"
"1","Adamdighi","Bangladesh",24.8191808002731,89.0440428
"2","Aditmari","Bangladesh",25.9222534001721,89.350972
"3","Agailjhara","Bangladesh",22.9718503003851,90.1587931
"4","Ajmiriganj","Bangladesh",24.5579044002937,91.2361655
"5","Akhaura","Bangladesh",23.868122100341,91.2088835
"6","Akkelpur","Bangladesh",24.9667025002608,89.0169358
"7","Alamdanga","Bangladesh",23.7656496003471,88.9447428
"8","Alinagar Bazar","Bangladesh",24.8451367002709,88.3003611
"9","Anwara","Bangladesh",22.2331756004052,91.8723543
"10","Araihazar","Bangladesh",23.7926714003455,90.6531527
"11","Ashuganj Bazar","Bangladesh",24.0335326003307,90.9972445
"12","Atpara","Bangladesh",24.8148763002734,90.8622122
"13","Atwari","Bangladesh",26.2432148001393,88.415359
"14","Austagram","Bangladesh",24.2743376003145,91.104981
"15","Badalgachhi","Bangladesh",24.9686595002606,88.9120082
"16","Bagerhat","Bangladesh",22.6554187003955,89.7971746
"17","Bagha","Bangladesh",24.1919058003202,88.8360859
"18","Baghabari","Bangladesh",24.1387359003238,89.5858404
"19","Bagherpara","Bangladesh",23.2216233003749,89.3409129
"20","Bahadurabad","Bangladesh",25.2245856002384,89.774875
"21","Bajitpur","Bangladesh",24.2157623003186,90.9518114
"22","Bakshiganj","Bangladesh",25.1844367002419,89.8693551
"23","Balaganj","Bangladesh",24.657868300286,91.8414179
"24","Baliakandi","Bangladesh",23.6351881003545,89.5484979
"25","Bamundi","Bangladesh",23.8938537003395,88.8045702
"26","Banaripara","Bangladesh",22.7834892003916,90.159408
"27","Bancharampur","Bangladesh",23.7782766003464,90.8058623
"28","Bandarban","Bangladesh",22.1963002004058,92.2198872
"29","Bandarban Sadar Upazila","Bangladesh",22.1972889004058,92.2217498
"30","Baneshwar","Bangladesh",24.3671739003079,88.7546203
"31","Bangra","Bangladesh",24.3674362003079,89.9565559
"32","Baniachong","Bangladesh",24.5259170002962,91.3626738
"33","Banshkhali","Bangladesh",22.0084916004082,91.9478252
"34","Bara Keshtola","Bangladesh",23.1947908003761,91.0454869
"35","Barguna","Bangladesh",22.1589050004063,90.1181456
"36","Barhatta","Bangladesh",24.8919790002671,90.8918435
"37","Barkhada","Bangladesh",23.934633900337,89.0910184
"38","Barlekha","Bangladesh",24.7041949002823,92.1929218
"39","Barura","Bangladesh",23.3761885003678,91.0543359
"40","Basail","Bangladesh",24.2297459003176,90.0517494
"41","Batiaghata","Bangladesh",22.740346800393,89.5180285
"42","Bauphal","Bangladesh",22.4168127004016,90.5589509
"43","Bausi","Bangladesh",24.7808867002762,89.8536319
"44","Beanibazar","Bangladesh",24.8215475002729,92.1590067
"45","Begumganj","Bangladesh",22.9421436003862,91.0996725
"46","Belabo","Bangladesh",24.104846100326,90.8520464
"47","Belaichhari-বিলাইছড়ি","Bangladesh",22.5045966003995,92.3393229
"48","Belonia","Bangladesh",23.2497879003737,91.4550309
"49","Benapole","Bangladesh",23.0446124003823,88.9040591
"50","Bera","Bangladesh",24.0779947003278,89.6103537
"51","Betagi","Bangladesh",22.4107982004017,90.1598377
"52","Bhaighat","Bangladesh",24.6378357002876,89.972397
"53","Bhairab Bazar","Bangladesh",24.04458980033,90.9866937
"54","Bhaluka","Bangladesh",24.4044550003052,90.3863536
"55","Bhandaria","Bangladesh",22.4876830004,90.0643776
"56","Bhatiari","Bangladesh",22.4337924004012,91.7403944
"57","Bheramara","Bangladesh",24.0202276003316,88.9971604
"58","Bhola","Bangladesh",22.6890950003946,90.6405813
"59","Bholarhat","Bangladesh",24.9434528002628,88.2185594
"60","Bhuapur","Bangladesh",24.461254600301,89.872814
"61","Bhurungamari","Bangladesh",26.110461700153,89.6638474
"62","Birampur","Bangladesh",25.3905537002233,88.991278
"63","Bishwamvarpur","Bangladesh",25.1054930002489,91.3036504
"64","Boalmari","Bangladesh",23.3854562003673,89.681615
"65","Bodorganj","Bangladesh",25.6751399001964,89.0608724
"66","Bonogram","Bangladesh",23.9966792003331,89.4729493
"67","Boyra","Bangladesh",22.8350823003899,89.5316336
"68","Brahmanpara","Bangladesh",23.6148455003556,91.1071379
"69","Burhanuddin","Bangladesh",22.5012535003996,90.7293339
"70","Burichang","Bangladesh",23.5598424003585,91.1259324
"71","Burimari","Bangladesh",26.3966457001232,88.9376035
"72","Chagalnaiya","Bangladesh",23.0398704003825,91.5148258
"73","Chagra","Bangladesh",24.4020232003054,91.1110461
"74","Chakaria","Bangladesh",21.7662726004099,92.076021
"75","Chandaikona","Bangladesh",24.5570392002938,89.5025298
"76","Chandina","Bangladesh",23.4883756003622,91.0078123
"77","Chandra","Bangladesh",24.0483994003297,90.2393882
"78","Chanduriya","Bangladesh",24.514380100297,88.5596726
"79","Chapainawabganj","Bangladesh",24.5954428002909,88.2704609
"80","Charfasson","Bangladesh",22.1862993004059,90.7600613
"81","Charghat","Bangladesh",24.2850601003137,88.7469909
"82","Chatkhil","Bangladesh",23.0630940003816,90.9723615
"83","Chatmohar","Bangladesh",24.2313834003175,89.290206
"84","Chaugacha","Bangladesh",23.2701590003727,89.0219012
"85","Chhatak Bazaar","Bangladesh",25.0337450002551,91.6618288
"86","Chilmari","Bangladesh",25.5850605002051,89.6622435
"87","Chinakhora","Bangladesh",23.9628403003352,89.4948996
"88","Chirir Bandar","Bangladesh",25.6569890001982,88.7761974
"89","Chitalmari","Bangladesh",22.7882270003915,89.8785812
"90","Chowmuhani","Bangladesh",22.9438575003861,91.110852
"91","Chuadanga","Bangladesh",23.6450761003539,88.8465767
"92","Companiganj","Bangladesh",23.6375741003543,90.971007
"93","Daganbhuiyan","Bangladesh",22.9372022003864,91.3026932
"94","Damuhuda","Bangladesh",23.6024960003562,88.7813352
"95","Dapunia","Bangladesh",24.0425518003301,89.1596
"96","Darsana","Bangladesh",23.53106890036,88.8002262
"97","Dashmina","Bangladesh",22.2832457004043,90.5622027
"98","Daudkandi","Bangladesh",23.5373475003597,90.7152458
"99","Daulatkhan","Bangladesh",22.601434600397,90.7460114
"100","Daulatpur","Bangladesh",23.9686822003348,89.833754
"101","Daulatpur","Bangladesh",23.9686822003348,89.833754
"102","Debidwar","Bangladesh",23.5965294003566,90.9935327
"103","Debiganj","Bangladesh",26.120193500152,88.759245
"104","Delduar","Bangladesh",24.1691580003217,89.9683401
"105","Deluti","Bangladesh",22.6165926003966,89.4154129
"106","Dewanganj","Bangladesh",25.1415912002457,89.780017
"107","Dhamoirhat","Bangladesh",25.1559873002445,88.832894
"108","Dhanbari","Bangladesh",24.6774082002845,89.951882
"109","Dhobaura","Bangladesh",25.0975326002496,90.4606544
"110","Dholapara","Bangladesh",24.460735000301,90.0903701
"111","Dighinala","Bangladesh",23.242645700374,92.0667283
"112","Dinajpur","Bangladesh",25.6260712002011,88.6346228
"113","Dohar","Bangladesh",23.6059193003561,90.1335499
"114","Domar","Bangladesh",26.1061930001534,88.8234458
"115","Dowarabazar","Bangladesh",25.0399047002546,91.5718305
"116","Dumki","Bangladesh",22.4602670004006,90.3876818
"117","Dumuria","Bangladesh",22.8163016003906,89.4117044
"118","Dupchachia","Bangladesh",24.869083000269,89.1837301
"119","Elenga","Bangladesh",24.3351648003102,89.9252011
"120","Fakirhat","Bangladesh",22.7753498003919,89.7123646
"121","Faridganj","Bangladesh",23.1282942003789,90.7547958
"122","Fatikchhari","Bangladesh",22.6873648003946,91.7902571
"123","Fenchuganj","Bangladesh",24.6942465002831,91.9392229
"124","Feni","Bangladesh",23.0068186003838,91.3966134
"125","Gabtali","Bangladesh",24.8770229002683,89.4512705
"126","Gaibandha","Bangladesh",25.3315471002287,89.5485082
"127","Gangni","Bangladesh",23.817871200344,88.7497084
"128","Garobazar","Bangladesh",24.5375462002953,90.1336826
"129","Gazaria","Bangladesh",23.5576927003586,90.6523837
"130","Gazipur","Bangladesh",23.998079700333,90.4229848
"131","Ghatail","Bangladesh",24.4781769002998,89.9735137
"132","Ghior","Bangladesh",23.8995885003391,89.8719708
"133","Ghoraghat","Bangladesh",25.2720353002341,89.2538044
"134","Ghoraghat","Bangladesh",25.2660298002347,89.2599561
"135","Gobindaganj","Bangladesh",25.1339117002464,89.3857832
"136","Godagari","Bangladesh",24.4581726003012,88.3285448
"137","Golapganj","Bangladesh",24.85688150027,92.0130004
"138","Gonaighat","Bangladesh",25.0934917002499,91.9829351
"139","Gopalganj","Bangladesh",23.0059418003838,89.8263479
"140","Gopalpur","Bangladesh",24.5638001002933,89.9282608
"141","Gopinathpur","Bangladesh",23.1117118003796,89.7658148
"142","Gouripur","Bangladesh",24.7600679002779,90.5703878
"143","Gournadi","Bangladesh",22.975130300385,90.2309736
"144","Gurudaspur","Bangladesh",24.3679529003078,89.2325129
"145","Habiganj","Bangladesh",24.3858370003065,91.4126358
"146","Haimchar","Bangladesh",23.0966624003802,90.6607486
"147","Hajiganj","Bangladesh",23.2537284003735,90.8528584
"148","Hakimpur","Bangladesh",25.2857531002329,89.0141357
"149","Haluaghat","Bangladesh",25.1222567002474,90.3395618
"150","Hariakunda","Bangladesh",23.6513766003536,89.0487002
"151","Hatiya","Bangladesh",22.2877297004042,91.1265769
"152","Hili","Bangladesh",25.2813175002333,89.0033233
