"","Date","Births"
"1","1959-01-01",35
"2","1959-01-02",32
"3","1959-01-03",30
"4","1959-01-04",31
"5","1959-01-05",44
"6","1959-01-06",29
"7","1959-01-07",45
"8","1959-01-08",43
"9","1959-01-09",38
"10","1959-01-10",27
"11","1959-01-11",38
"12","1959-01-12",33
"13","1959-01-13",55
"14","1959-01-14",47
"15","1959-01-15",45
"16","1959-01-16",37
"17","1959-01-17",50
"18","1959-01-18",43
"19","1959-01-19",41
"20","1959-01-20",52
"21","1959-01-21",34
"22","1959-01-22",53
"23","1959-01-23",39
"24","1959-01-24",32
"25","1959-01-25",37
"26","1959-01-26",43
"27","1959-01-27",39
"28","1959-01-28",35
"29","1959-01-29",44
"30","1959-01-30",38
"31","1959-01-31",24
"32","1959-02-01",23
"33","1959-02-02",31
"34","1959-02-03",44
"35","1959-02-04",38
"36","1959-02-05",50
"37","1959-02-06",38
"38","1959-02-07",51
"39","1959-02-08",31
"40","1959-02-09",31
"41","1959-02-10",51
"42","1959-02-11",36
"43","1959-02-12",45
"44","1959-02-13",51
"45","1959-02-14",34
"46","1959-02-15",52
"47","1959-02-16",47
"48","1959-02-17",45
"49","1959-02-18",46
"50","1959-02-19",39
"51","1959-02-20",48
"52","1959-02-21",37
"53","1959-02-22",35
"54","1959-02-23",52
"55","1959-02-24",42
"56","1959-02-25",45
"57","1959-02-26",39
"58","1959-02-27",37
"59","1959-02-28",30
"60","1959-03-01",35
"61","1959-03-02",28
"62","1959-03-03",45
"63","1959-03-04",34
"64","1959-03-05",36
"65","1959-03-06",50
"66","1959-03-07",44
"67","1959-03-08",39
"68","1959-03-09",32
"69","1959-03-10",39
"70","1959-03-11",45
"71","1959-03-12",43
"72","1959-03-13",39
"73","1959-03-14",31
"74","1959-03-15",27
"75","1959-03-16",30
"76","1959-03-17",42
"77","1959-03-18",46
"78","1959-03-19",41
"79","1959-03-20",36
"80","1959-03-21",45
"81","1959-03-22",46
"82","1959-03-23",43
"83","1959-03-24",38
"84","1959-03-25",34
"85","1959-03-26",35
